"주식지표별(1)",주식지표별(2),2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"회사수 (개)",소계,21,22,24,28,32,45,46,48,48,51,52,55,58,60,62,61,62,71,71,71,72,73,75,81,87,88,89,94,94,108,110,110,113,116,120,124,126,129,132,134,137,141,142,141,141,142,144,149,150,151,150,152,151,154,154,149,148,148,148,150,152,152,148,146,149,153,153,152,150,151,150,151,150,150,152,151,151,151,151
"종목수 (종목)",소계,21,22,24,28,32,45,46,48,48,51,52,55,58,60,62,61,62,71,71,71,72,73,75,81,87,88,89,94,94,108,110,110,113,116,120,124,126,129,132,134,137,141,142,141,141,142,144,149,150,151,150,152,151,154,154,149,148,148,148,150,152,152,148,146,149,153,153,152,150,151,150,151,150,150,152,151,151,151,151
"상장주식수 (주)",소계,84243142,85843142,95168602,117721314,136321682,183811722,188546844,193457757,194338368,204072268,207475849,220783687,239139306,251768965,262304070,245394913,256214310,295262068,300615435,302167425,307034783,322217644,332104016,358060302,387044996,392887336,403429494,421239553,414564666,479902810,494876535,494768535,508987298,521535613,545560584,563606439,558371655,588106220,596576976,601878789,599431556,592100206,602559421,594741752,596021424,608973589,619460215,625114556,624201295,618523555,616625175,633840077,641426727,670598359,675563606,663347660,672255232,690988744,699086391,718684581,735589670,753802462,743556780,775375738,819180703,838893507,840279631,839318809,801417488,809924261,806500104,809772124,799549631,794494160,833477530,829860081,828545604,845458321,855487200
"상장자본금 (천원)",소계,44480921,45280921,48916301,58860657,68160841,91905861,94273422,95776416,96216722,101083672,102785462,109439381,118617191,124932020,130199573,124436746,129846444,150365733,153042417,153818412,155452091,163043521,167986707,179464850,193778197,196699367,202805946,212613815,210496184,237869256,245356119,244173319,251282700,257296644,267750219,277581271,276052044,281670644,288606022,291023358,287961806,285662520,290892128,286966627,287517968,291386961,296076942,298741280,298284649,295445779,294136204,302743655,306536980,314976196,319438819,312835100,317288886,320763283,324540017,329898815,335951359,343881755,339656209,343169488,353778356,362034758,362727820,362247409,352765817,354294934,349891104,351527114,345590868,343063132,360397365,356198114,355540876,357159874,361518314
"상장주식시가총액 (천원)",소계,496413632,546553231,544749444,596769800,673231434,923433086,933819338,935657546,981416437,1136858699,1103765257,1173404525,1317411520,1337206537,1391817211,1266015549,1427042261,1425228573,1598978724,1798637664,1941471941,2378435792,2521565882,3558095688,4286394079,4137224581,3708610348,3704144128,3465386823,3947084040,4606281548,4549001024,4586106965,4740082098,4826443500,5241684960,5270857999,5125194401,5187995071,5030113782,4474206903,4307750814,4101538282,4065369067,3979785192,3916223762,3936067724,4157906814,4100199683,4048323196,4031744222,4228419719,4549891703,4908055194,6593722889,6330271280,6380594302,6546168122,6491538661,6616935070,6688728554,7027472006,6794832914,6360141694,6426513740,6250390540,6600300326,6479977839,6453798502,6821406332,6415357284,6337405034,6005312173,5735580778,5799909848,5397184299,5375110942,5325427740,5414347964
"거래량",합계 (주),1633700,1692150,483800,1145600,818200,1754120,984100,845274,802200,428590,491850,910456,2313222,776670,543100,869700,1530980,1574041,1847358,1659335,3443947,2565618,2422018,4090974,5298018,3235164,2739458,2984852,3513945,3973599,3165217,2710553,5049736,4262318,4254118,5237799,6237047,4709263,2862660,2951352,3761557,3831017,2551914,2575039,4193359,5612042,5537510,9683249,3436169,3478643,3788417,3394289,8569381,6412030,11741564,7336796,9022138,9222261,7207119,5967743,5768377,6764591,6311319,4869536,5037673,4809676,5432831,6642917,8053270,10720117,9105821,6677289,7185671,5045184,10595372,6883205,7290370,7453463,7577561
"거래량",일평균 (주),71030,80579,26878,54552,38962,87706,49205,42264,38200,19481,25887,47919,100575,38834,28584,41414,76549,74954,87969,97608,156543,116619,134557,185953,230349,161758,136973,142136,167331,189219,158261,150586,229533,213116,212706,249419,297002,214057,150666,147568,170980,182429,127596,128752,190607,280602,291448,461107,163627,158120,180401,212143,389517,337475,533707,407600,429626,439155,360356,314092,262199,307481,371254,231883,228985,253141,246947,390760,402664,487278,433611,351436,312420,240247,557651,327772,347160,372673,378878
"거래대금",합계 (천원),10065364,11281949,4006684,7573288,5291957,10475152,5752237,5903549,4588703,3459881,3678276,8420658,16008765,6734369,4870877,6010182,16405187,14202191,15831790,15877119,33095786,32014319,33881777,57790654,76728455,41583701,29524902,30145620,34470015,50790638,47821746,38915648,83164512,55035788,51779805,64680008,72081529,55410233,34030114,35140271,35699573,33161277,19025853,19366551,38397950,30898815,25276843,34201215,20898853,24673579,30240314,33546904,83126430,74166231,250265198,139733170,106010986,117268391,71811573,67772908,65299996,72055709,114842104,61350597,46440804,58526180,52199962,51009452,74843472,63977132,58759400,51245084,46554616,34485153,35796149,42728743,46504479,47050787,43730801
"거래대금",일평균 (천원),437625,537236,222594,360633,251998,523758,287612,295177,218510,157267,193593,443193,696033,336718,256362,286199,820259,676295,753895,933948,1504354,1455196,1882321,2626848,3336020,2079185,1476245,1435506,1641429,2418602,2391087,2161980,3780205,2751789,2588990,3080000,3432454,2518647,1791059,1757014,1622708,1579108,951293,968328,1745361,1544941,1330360,1628629,995183,1121526,1440015,2096681,3778474,3903486,11375691,7762954,5048142,5584209,3590579,3566995,2968182,3275259,6755418,2921457,2110946,3080325,2372726,3000556,3742174,2908051,2798067,2697110,2024114,1642150,1884008,2034702,2214499,2352539,2186540
"회전율",상장주식 (%),1.94,1.99,0.54,1.08,0.64,1.14,0.53,0.45,0.41,0.22,0.24,0.42,1,0.32,0.21,0.34,0.61,0.58,0.62,0.55,1.13,0.79,0.74,1.21,1.43,0.83,0.68,0.73,0.84,0.91,0.65,0.55,1.01,0.84,0.79,0.94,1.12,0.82,0.48,0.49,0.62,0.66,0.43,0.43,0.7,0.94,0.9,1.56,0.55,0.56,0.61,0.55,1.35,0.98,1.74,1.1,1.33,1.36,1.04,0.84,0.79,0.9,0.84,0.65,0.64,0.58,0.65,0.79,0.99,1.33,1.12,0.83,0.9,0.63,1.28,0.83,0.88,0.91,0.89
"회전율",시가총액 (%),2.16,2.17,0.74,1.33,0.88,1.39,0.62,0.65,0.47,0.34,0.34,0.73,1.26,0.5,0.36,0.45,1.23,0.99,1.05,0.91,1.81,1.47,1.4,1.98,1.97,0.97,0.76,0.81,0.96,1.44,1.08,0.84,1.81,1.18,1.08,1.27,1.38,1.07,0.66,0.7,0.74,0.79,0.45,0.47,0.97,0.79,0.64,0.84,0.51,0.62,0.75,0.82,1.86,1.57,3.97,2.16,1.68,1.8,1.12,1.03,0.98,1.04,1.67,0.94,0.72,0.96,0.8,0.79,1.1,0.97,0.88,0.81,0.74,0.59,0.62,0.78,0.86,0.9,0.81
"5000원 당 시가 (원)",소계,55801,60351,55682,50693,49385,50238,49527,48846,51000,56234,53693,53610,55532,53517,53449,50870,54951,47392,52240,58466,62446,72939,75053,99131,110601,105166,91432,87110,82315,82968,93869,93151,91254,92113,90130,94417,95469,90978,89880,86421,77688,75399,70499,70833,69209,67200,66470,69590,68730,68512,68535,69835,74214,77912,103208,101176,100549,102040,100011,100287,99549,102179,100025,92668,90827,86323,90981,89441,91474,96267,91676,90141,86885,83594,80465,75761,75591,74552,74883
